,NDCG@5,Precision@5,Recall@5,NDCG@10,Precision@10,Recall@10,NDCG@20,Precision@20,Recall@20,MRR
Most Popular Baseline,0.0,0.0,0.0,0.00015292835852562283,0.00010392919404586297,0.0003608809797625675,0.0013565783152766633,0.0005481426847257611,0.004112715322340911,0.0007912341996384626
ALS,7.174006461530359e-06,6.705109293281481e-06,6.705109293281481e-06,0.00011958888698189457,7.040364757945555e-05,0.00028922677608476184,0.0010852902398186901,0.0004324795494166555,0.0033277938605386663,0.0006239449107376929
Item-based CF,0.0010610049006262872,0.0007576773501408073,0.0011198521636377472,0.0014825222510788296,0.0007543247954941665,0.002263311217091332,0.002582171835484114,0.0009169236958562425,0.005579137949856369,0.0029591668655817036
Content-Based,0.00047923026264306987,0.0003151401367842296,0.0005657072825505171,0.0007329055872271155,0.0003520182378972777,0.0012361353655607375,0.0013380425857265656,0.00043080327209333517,0.003156875152573336,0.0013278348222144668
Hybrid (CF + Pop),0.0010610049006262872,0.0007576773501408073,0.0011198521636377472,0.0014825222510788296,0.0007543247954941665,0.002263311217091332,0.0023896870813894257,0.0007979080059004962,0.005049479376151838,0.0028486219406344115
